Line No.,Order Code,RoHS Compliant?,Your Part No,Notes,Qty,Mfr Part No,Manufacturer Name,Manufacturer / Description,Availability,Unit Price (Rs.),Line Price (Rs.),Discount Price (Rs.)
1,2467830,RoHS: YES / PHTHALATES: YES,,,2.0,"ABM8-16.000MHZ-10-1-U-T",ABRACON,"ABRACON  Crystal, 16 MHz, SMD, 3.2mm x 2.5mm, 10 ppm, 10 pF, 10 ppm, ABM8",190,60.9900,121.98,,
2,1447637,RoHS: YES / PHTHALATES: YES,,,1.0,"STM32F103C8T6",STMICROELECTRONICS,"STMICROELECTRONICS  ARM MCU, Motor Control, STM32 Family STM32F1 Series Microcontrollers, ARM Cortex-M3, 32 bit, 72 MHz",81500,498.3700,498.37,,
3,3873355,RoHS: YES / PHTHALATES: YES,,,10.0,"USB3080-30-00-A",GCT (GLOBAL CONNECTOR TECHNOLOGY),"GCT (GLOBAL CONNECTOR TECHNOLOGY)  USB Connector, Micro USB Type B, USB 2.0, Receptacle, 5 Ways, Surface Mount, Through Hole Mount",312,55.5600,555.60,,
4,2442736,RoHS: YES / PHTHALATES: YES,,,2.0,"629105136821",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  USB Connector, Micro USB Type B, USB 2.0, Receptacle, 5 Ways, Surface Mount, Right Angle",5346,122.1900,244.38,,
5,2409031,RoHS: YES / PHTHALATES: YES,,,10.0,"C0402C104K9PACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 0.1 µF, 6.3 V, 0402 [1005 Metric], ± 10%, X5R",750,2.0700,20.70,,
6,1288201,RoHS: YES / PHTHALATES: YES,,,10.0,"C0603C106M9PACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 10 µF, 6.3 V, 0603 [1608 Metric], ± 20%, X5R",41314,11.8700,118.70,,
7,2581017,RoHS: YES / PHTHALATES: YES,,,10.0,"C0402C100K4GACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 10 pF, 16 V, 0402 [1005 Metric], ± 10%, C0G / NP0",8410,12.6300,126.30,,
8,2821036,RoHS: YES / PHTHALATES: YES,,,10.0,"C0402C105M9PACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 1 µF, 6.3 V, 0402 [1005 Metric], ± 20%, X5R",26020,4.3300,43.30,,
9,1108326,RoHS: YES / PHTHALATES: YES,,,10.0,"C0805C226M9PACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 22 µF, 6.3 V, 0805 [2012 Metric], ± 20%, X5R",71107,10.4300,104.30,,
10,2687492,RoHS: YES / PHTHALATES: YES,,,5.0,"SML-D15UWT86C",ROHM,"ROHM  LED, 0603, Red, SMD, 0603, 20 mA, 2 V, 620 nm",2970,33.0200,165.10,,
11,2099224,RoHS: YES / PHTHALATES: YES,,,5.0,"KPT-1608SURCK",KINGBRIGHT,"KINGBRIGHT  LED, Low Power, Red, SMD, 0603, 20 mA, 1.95 V, 630 nm",10165,13.4800,67.40,,
12,3499696,RoHS: YES / PHTHALATES: YES,,,10.0,"KPZ1608SHR121ATDH5",TDK,"TDK  Ferrite Bead, 0603 [1608 Metric], 120 ohm, 2 A, KPZ-HR, 0.045 ohm, ± 25%",9686,9.2600,92.60,,
13,3218434,RoHS: YES / PHTHALATES: YES,,,3.0,"CUS-12TB",NIDEC COMPONENTS,"NIDEC COMPONENTS  SLIDE SWITCH, SPDT, 0.3A, 4VDC, SMD",450,77.9900,233.97,,

,,,,,,,Sub Total,Rs.2392.70
,,,,,,,Goods Total,Rs.2392.70
,,,,,,,Delivery,Rs.0.00
,,,,,,,GST,Rs.Unknown
,,,,,,,Total,Rs.2392.70
